idfederal;fedconc;feddata;fedlocal;fedpremioest;feds01;feds02;feds03;feds04;feds05;fedpr01;fedpr02;fedpr03;fedpr04;fedpr05;fedcidgan01;fedcidgan02;fedcidgan03;fedcidgan04;fedcidgan05
42;42;1990-02-11;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
43;43;1990-02-12;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
44;44;1990-02-13;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
45;45;1990-02-14;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
46;46;1990-02-15;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
47;47;1990-02-16;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
48;48;1990-02-17;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
49;49;1990-02-18;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
50;50;1990-02-19;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
51;51;1990-02-20;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
52;52;1990-02-21;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
53;53;1990-02-22;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
54;54;1990-02-23;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
55;55;1990-02-24;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
56;56;1990-02-25;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
57;57;1990-02-26;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
58;58;1990-02-27;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
59;59;1990-02-28;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
60;60;1990-03-01;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
61;61;1990-03-02;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
62;62;1990-03-03;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
63;63;1990-03-04;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
64;64;1990-03-05;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
65;65;1990-03-06;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
66;66;1990-03-07;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
67;67;1990-03-08;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
68;68;1990-03-09;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
69;69;1990-03-10;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
70;70;1990-03-11;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
71;71;1990-03-12;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
72;72;1990-03-13;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
73;73;1990-03-14;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
74;74;1990-03-15;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
75;75;1990-03-16;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
76;76;1990-03-17;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
77;77;1990-03-18;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
78;78;1990-03-19;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
79;79;1990-03-20;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
80;80;1990-03-21;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
81;81;1990-03-22;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
82;82;1990-03-23;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
83;83;1990-03-24;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
84;84;1990-03-25;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
85;85;1990-03-26;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
86;86;1990-03-27;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
87;87;1990-03-28;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
88;88;1990-03-29;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
89;89;1990-03-30;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
90;90;1990-03-31;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
91;91;1990-04-01;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
92;92;1990-04-02;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
93;93;1990-04-03;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
94;94;1990-04-04;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
95;95;1990-04-05;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
96;96;1990-04-06;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
97;97;1990-04-07;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
98;98;1990-04-08;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
99;99;1990-04-09;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
100;100;1990-04-10;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
101;101;1990-04-11;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
102;102;1990-04-12;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
103;103;1990-04-13;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
104;104;1990-04-14;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
105;105;1990-04-15;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
106;106;1990-04-16;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
107;107;1990-04-17;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
108;108;1990-04-18;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
109;109;1990-04-19;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
110;110;1990-04-20;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
111;111;1990-04-21;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
112;112;1990-04-22;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
113;113;1990-04-23;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
114;114;1990-04-24;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
115;115;1990-04-25;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
116;116;1990-04-26;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
117;117;1990-04-27;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
118;118;1990-04-28;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
119;119;1990-04-29;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
120;120;1990-04-30;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
121;121;1990-05-01;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
122;122;1990-05-02;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
123;123;1990-05-03;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
124;124;1990-05-04;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
125;125;1990-05-05;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
126;126;1990-05-06;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
127;127;1990-05-07;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
128;128;1990-05-08;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
129;129;1990-05-09;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
130;130;1990-05-10;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
131;131;1990-05-11;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
132;132;1990-05-12;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
133;133;1990-05-13;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
134;134;1990-05-14;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
135;135;1990-05-15;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
136;136;1990-05-16;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
137;137;1990-05-17;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
138;138;1990-05-18;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
139;139;1990-05-19;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
140;140;1990-05-20;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
141;141;1990-05-21;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
142;142;1990-05-22;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
143;143;1990-05-23;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
144;144;1990-05-24;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
145;145;1990-05-25;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
146;146;1990-05-26;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
147;147;1990-05-27;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
148;148;1990-05-28;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
149;149;1990-05-29;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
150;150;1990-05-30;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
151;151;1990-05-31;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
152;152;1990-06-01;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
153;153;1990-06-02;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
154;154;1990-06-03;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
155;155;1990-06-04;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
156;156;1990-06-05;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
157;157;1990-06-06;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
158;158;1990-06-07;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
159;159;1990-06-08;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
160;160;1990-06-09;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
161;161;1990-06-10;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
162;162;1990-06-11;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
163;163;1990-06-12;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
164;164;1990-06-13;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
165;165;1990-06-14;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
166;166;1990-06-15;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
167;167;1990-06-16;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
168;168;1990-06-17;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
169;169;1990-06-18;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
170;170;1990-06-19;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
171;171;1990-06-20;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
172;172;1990-06-21;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
173;173;1990-06-22;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
174;174;1990-06-23;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
175;175;1990-06-24;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
176;176;1990-06-25;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
177;177;1990-06-26;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
178;178;1990-06-27;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
179;179;1990-06-28;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
180;180;1990-06-29;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
181;181;1990-06-30;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
182;182;1990-07-01;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
183;183;1990-07-02;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
184;184;1990-07-03;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
185;185;1990-07-04;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
186;186;1990-07-05;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
187;187;1990-07-06;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
188;188;1990-07-07;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
189;189;1990-07-08;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
190;190;1990-07-09;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
191;191;1990-07-10;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
192;192;1990-07-11;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
193;193;1990-07-12;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
194;194;1990-07-13;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
195;195;1990-07-14;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
196;196;1990-07-15;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
197;197;1990-07-16;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
198;198;1990-07-17;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
199;199;1990-07-18;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
200;200;1990-07-19;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
201;201;1990-07-20;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
202;202;1990-07-21;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
203;203;1990-07-22;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
204;204;1990-07-23;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
205;205;1990-07-24;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
206;206;1990-07-25;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
207;207;1990-07-26;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
208;208;1990-07-27;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
209;209;1990-07-28;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
210;210;1990-07-29;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
211;211;1990-07-30;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
212;212;1990-07-31;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
213;213;1990-08-01;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
214;214;1990-08-02;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
215;215;1990-08-03;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
216;216;1990-08-04;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
217;217;1990-08-05;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
218;218;1990-08-06;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
219;219;1990-08-07;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
220;220;1990-08-08;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
221;221;1990-08-09;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
222;222;1990-08-10;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
